T26,Population employed in research and development (R&D),,,,,
222,El Salvador,2015,R & D personnel: Researchers - total (number in full-time equivalent),828,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
222,El Salvador,2015,R & D personnel: Researchers - women (number in full-time equivalent),315,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2005,R & D personnel: Total (number in full-time equivalent),"4,362",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"3,331",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"1,317",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2005,R & D personnel: Technicians - total (number in full-time equivalent),567,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2005,R & D personnel: Technicians - women (number in full-time equivalent),274,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),464,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),305,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2010,R & D personnel: Total (number in full-time equivalent),"5,277",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,077",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,688",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2010,R & D personnel: Technicians - total (number in full-time equivalent),907,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2010,R & D personnel: Technicians - women (number in full-time equivalent),404,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),293,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),211,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2014,R & D personnel: Total (number in full-time equivalent),"5,796",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2014,R & D personnel: Researchers - total (number in full-time equivalent),"4,323",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2014,R & D personnel: Researchers - women (number in full-time equivalent),"1,865",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2014,R & D personnel: Technicians - total (number in full-time equivalent),896,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2014,R & D personnel: Technicians - women (number in full-time equivalent),438,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),577,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),423,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2015,R & D personnel: Total (number in full-time equivalent),"5,464",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"4,186",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2015,R & D personnel: Technicians - total (number in full-time equivalent),890,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
233,Estonia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),388,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
231,Ethiopia,2005,R & D personnel: Total (number in full-time equivalent),"5,112",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
231,Ethiopia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,608",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
231,Ethiopia,2005,R & D personnel: Researchers - women (number in full-time equivalent),111,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
231,Ethiopia,2005,R & D personnel: Technicians - total (number in full-time equivalent),779,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
231,Ethiopia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,725",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
231,Ethiopia,2007,R & D personnel: Total (number in full-time equivalent),"6,051",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
